id,name,associated_reactions
G_STM0757,pnuC,[]
G_STM0978,aroA,[]
G_STM0958,trxB,[]
G_STM1293,pncA,[]
G_STM0145,nadC,[]
G_STM4453,treC,[]
G_STM4348,psd,[]
G_STM1765,narK,[]
G_STM1929,otsB,[]
G_STM4578,serB,[]
G_STM3476,nirC,[]
G_STM1928,otsA,[]
G_STM2259,napA,[]
G_STM2652,pssA,[]
G_STM2338,pta,[]
G_STM3603,treF,[]
G_STM2256,napB,[]
G_STM1796,treA,[]
G_STM4454,STM4454,[]
G_STM2047,pduL,[]
G_STM2255,napC,[]
G_STM2466,eutD,[]
G_STM2257,napH,[]
G_STM3725,kdtB,[]
G_STM1727,trpA,[]
G_STM2258,napG,[]
G_STM1726,trpB,[]
G_STM0700,potE,[]
G_STM1761,narI,[]
G_STM3481,trpS,[]
G_STM1577,narZ,[]
G_STM3248,garR,[]
G_STM0519,glxR,[]
G_STM3218,oat,[]
G_STM1579,narW,[]
G_STM1449,tyrS,[]
G_STM1578,narY,[]
G_STM0877,potF,[]
G_STM1763,narH,[]
G_STM1937,tyrP,[]
G_STM1762,narJ,[]
G_STM0226,lpxD,[]
G_STM1226,potA,[]
G_STM1764,narG,[]
G_STM1225,potB,[]
G_STM0123,murE,[]
G_STM1580,narV,[]
G_STM3921,wecC,[]
G_STM0879,potH,[]
G_STM2260,napD,[]
G_STM0880,potI,[]
G_STM3920,wecB,[]
G_STM0228,lpxA,[]
G_STM1222,potD,[]
G_STM1576,narU,[]
G_STM1223,potC,[]
G_STM2556,hmpA,[]
G_STM0878,potG,[]
G_STM2307,menB,[]
G_STM2422,xapA,[]
G_STM3307,murA,[]
G_STM2332,STM2332,[]
G_STM0128,murG,[]
G_STM0126,murD,[]
G_STM1450,pdxY,[]
G_STM0494,ushA,[]
G_STM1378,pykF,[]
G_STM0129,murC,[]
G_STM0659,hscC,[]
G_STM4137,murB,[]
G_STM1888,pykA,[]
G_STM4349,yjeQ,[]
G_STM0865,ybjG,[]
G_STM3968,udp,[]
G_STM4584,yjjX,[]
G_STM3205,bacA,[]
G_STM2954,mazG,[]
G_STM0221,uppS,[]
G_STM3180,ygiN,[]
G_STM0756,nadA,[]
G_STM3103,yggV,[]
G_STM1426,ribE,[]
G_STM0417,ribH,[]
G_STM3885,rbsK,[]
G_STM0776,galE,[]
G_STM2080,udg,[]
G_STM2295,yfaO,[]
G_STM3793,STM3793,[]
G_STM0103,araB,[]
G_STM2299,yfbG,[]
G_STM1301,STM1301,[]
G_STM2297,yfbE,[]
G_STM0775,galT,[]
G_STM4388,sgaE,[]
G_STM0208,dgt,[]
G_STM3474,nirB,[]
G_STM3677,sgbE,[]
G_STM0515,allA,[]
G_STM3475,nirD,[]
G_STM0124,murF,[]
G_STM0101,araD,[]
